Search language,Translation language,Search text,Translation text,Tags / Comments,Search example,Translation example,Source text,Document / URL
en,it,feats,imprese,"gesta, prodezze",The superhero <em>feats</em> often depict superhuman agility that astonishes everyone.,Le <em>imprese</em> del supereroe spesso mostrano un'agilità eccezionale che stupisce tutti.,
en,it,,dovuto,,,<em>dovuto</em>,
en,it,ascribe,attribuire,"ascrivere, imputare",What do you make of the missing body parts? I won't <em>ascribe</em> that to any legitimate spiritual practice.,Non posso <em>attribuire</em> quelle azioni ad una pratica spirituale legittima.,
en,it,forthwith,immediatamente,"senza indugio, subito",The doctor recommended that he start treatment <em>forthwith</em> for better results.,Il medico ha raccomandato di iniziare <em>immediatamente</em> il trattamento per ottenere risultati migliori.,
en,it,felt compelled,sentiva in dovere,"sentì obbligato, sentiva obbligato",She <em>felt compelled</em> to stand up for those who cannot speak for themselves.,Si <em>sentiva in dovere</em> di dar voce a chi non può parlare per sé.,
en,it,,tensione,,,<em>tensione</em>,
en,it,,rimaneva indietro,,,<em>rimaneva indietro</em>,
en,it,come what may,qualunque cosa accada,"accada quel che accada, ad ogni costo",I photograph the person in the environment <em>come what may</em>.,Ho fotografato la persona in un ambiente <em>qualunque cosa accada</em>.,
en,it,expounds,espone,,"He often <em>expounds</em> his thoughts over coffee, making his ideas more digestible.","Spesso <em>espone</em> i suoi pensieri davanti a un caffè, rendendo le sue idee più digeribili.",
en,it,,poca attenzione,,,<em>poca attenzione</em>,
en,it,boil down,ridurre,"ridursi, condensare",They sought to <em>boil down</em> the proposal into a brief outline for easier discussion.,Hanno cercato di <em>ridurre</em> la proposta a uno schema breve per una discussione più semplice.,
en,it,relished,apprezzato,"assaporato, gustato",The students <em>relished</em> the opportunity to ask questions during the lecture.,Gli studenti hanno <em>apprezzato</em> l'occasione di fare domande durante la lezione.,
en,it,for although,"E lei non avrebbe potuto farci nulla; <em class="both">perché sebbene<hend> il re l'amasse, non avrebbe mai permesso che intralciasse i suoi piani.","perché sebbene, Perché nonostante","And she could do nothing; <em>for although</em> the king loved her, he never let her stand in the way of his plans.","E lei non avrebbe potuto farci nulla; <em class="both">perché sebbene</em> il re l'amasse, non avrebbe mai permesso che intralciasse i suoi piani.",
en,it,reliance,dipendenza,"affidamento, fiducia",There is a strong <em>reliance</em> on technology in modern education systems.,Nei moderni sistemi educativi c'è una forte <em>dipendenza</em> dalla tecnologia.,
en,it,devised,ideato,"concepito, elaborato",She <em>devised</em> a clever contingency plan to handle unexpected delays.,Ha <em>ideato</em> un piano di emergenza intelligente per gestire ritardi imprevisti.,
en,it,shepherds,pastori,"pastorelli, pastore",The sling was a popular weapon among the <em>shepherds</em> of old.,La fionda era un'arma popolare tra i <em>pastori</em> di un tempo.,
en,it,accustomed,abituato,"solito, avvezzo",His smooth gait indicated that he was <em>accustomed</em> to long walks.,Il suo passo fluido indicava che era <em>abituato</em> a fare lunghe camminate.,
en,it,supposedly,presumibilmente,"apparentemente, probabilmente",He was shocked to learn about the backdoor feature in the <em>supposedly</em> secure app.,È rimasto scioccato nello scoprire la funzione nascosta nell'app <em>presumibilmente</em> sicura.,
en,it,,profondo,,,<em>profondo</em>,
en,it,defuse,disinnescare,"sdrammatizzare, allentare","In tense moments, a leveled response can <em>defuse</em> escalating emotions.","Nei momenti tesi, una risposta equilibrata può <em>disinnescare</em> emozioni crescenti.",
en,it,steeped,immerso,"intriso, imbevuto",The cloth was <em>steeped</em> in warm water to loosen the stubborn stains.,Il panno fu <em>immerso</em> in acqua calda per allentare le macchie ostinate.,
en,it,plagued,afflitto,"tormentato, colpito",Their project was <em>plagued</em> with problems from the very beginning.,Il loro progetto è stato <em>afflitto</em> da problemi fin dall'inizio.,
